"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"163",106010.718804559,250921.726431471,229826.291622637,21.6620263701214,23.260421580151,22.3928094325506
"164",109998.102131924,269351.846927721,255498.120344981,21.7597817075544,23.307854654723,22.3359304744249
"165",109535.196000172,289581.54592011,272754.21477899,20.7760064934184,22.5655841491148,21.4397156981551
"166",104248.721861122,260137.256060968,235549.991245902,21.6069269107801,23.0518630646559,22.3898809429334
"167",108463.968727547,276804.486314546,271487.161841155,21.3997624820076,23.110983262406,21.8432337008518
"168",108110.525244548,287792.590626713,255016.113700297,20.2797589246507,22.0334308302192,21.3408777816578
"169",115287.744172837,285034.84180173,265318.959857084,21.6977489992823,23.2260998606102,22.2847702763747
"170",107195.253790329,270431.85702638,247384.29074755,21.9190000190813,23.5661312147049,22.5103091184456
"171",110786.450512947,296828.56115421,261365.961916061,20.8284169594036,22.4208495371407,21.7938529676596
"172",102885.856700612,253411.103312096,223386.329310857,21.6063658946443,23.290585651104,22.4200876056787
"173",108377.408421185,264042.017651587,237102.189891207,21.396103998754,23.1300841690683,22.2231431836037
"174",108960.032364356,282524.470844832,263374.870696447,19.9592409068839,21.7212943277278,21.0178008358227
"175",116006.576654912,266549.747143776,238998.930101107,21.2205636160654,23.0920245128378,22.0891818286808
"176",107211.370619906,254417.792898131,242436.997153433,21.9145101562,23.5054398474748,22.5814057569809
"177",128168.660940451,308066.308715785,275857.625132362,20.5898715886672,22.6692317563532,21.3060339971359
"178",116033.820015885,300153.862760675,272398.561644045,22.0652699986575,23.3778647323145,22.6740351345998
"179",116785.952861482,301479.782818755,278115.454416539,20.9479393822991,22.8839931748001,21.5549001473452
"180",111835.621457062,265420.739984228,241722.652648293,22.2120797000464,23.6739630915107,22.9407415455822
"181",110266.997091568,266280.004674557,224490.336557243,22.5081125821702,23.8819761722022,23.3803729871964
"182",117830.297920919,288458.617118712,283641.151741547,20.9210153734845,22.5514313481973,21.6183497617808
"183",122702.815434785,299760.042964293,278967.340800094,20.8771140561978,22.357220711015,21.7274950119539
"184",118987.653352817,317684.910415123,271657.692977997,20.1229473560691,21.9654708603277,21.2956793578414
"185",109409.759444931,255217.9443516,247468.573761909,21.7624119838637,23.5430273990462,22.2248923619347
"186",127289.044155503,289875.911498377,267512.780756809,21.0370576110392,23.0714137795827,21.7350416404293
"187",121554.187368835,284311.051845778,268598.308442818,21.2257043246774,22.8217411812755,21.9257914553025
"188",128664.91822537,327063.196741632,286034.917267768,20.2212001554108,22.1435021121862,21.1962778501549
"189",126872.174390054,327756.206312364,305574.998961927,19.6558648677976,21.5817220824378,20.6124452957082
"190",143870.668203433,329100.996468998,315149.856382239,19.6792791468828,22.0412826739426,20.3505291736641
"191",103090.514249156,255974.688630324,211398.139313399,21.9749192314378,23.4524695966961,22.9977032980554
"192",105714.448196992,276706.797739981,251694.199198413,21.3853874179822,22.9196636095416,22.0839091633477
"193",109007.969909505,273495.891260424,264111.417475556,21.348067955941,22.9682366099953,22.0219492319628
"194",118673.222650539,312074.843471707,292009.30917139,20.3214345466409,22.0849689979094,21.0710670021847
"195",117750.624751796,352704.859320898,339892.755898334,19.880588041922,21.5569898844987,20.2646099638804
"196",115470.071106388,283505.685460505,255090.083120686,21.4046754915997,23.0063308344392,22.317520521136
"197",124884.038216194,314291.724737065,268183.979534581,21.2696387370714,22.9313010560939,22.1340881289791
"198",93534.6440482108,223239.973946106,201545.801398529,22.9760476345491,24.260105765607,23.6227185227577
"199",104467.29166055,260312.998201665,241257.610692244,22.0986623761995,23.6759873436058,22.4639769543477
"200",110491.244998303,267990.898423429,246077.831823214,21.6078190854066,23.1891889356585,22.2974811189265
"201",104210.966978346,238508.023091977,219341.942268853,22.7576594238605,24.1872906183928,23.3536088589136
"202",121592.442281726,302312.25120296,278442.825865884,20.8570466173259,22.8344568296867,21.5233913667657
"203",103388.83300715,276884.118521861,228215.355915353,21.4950534778511,23.0535501636765,22.5407525111374
"204",105960.975597762,261908.69753943,229889.165755495,22.0211376078505,23.5580020886171,22.7170212234859
"205",113178.397280027,310511.713079157,293298.131485167,20.3471493070122,22.1697688078238,20.8959041722708
"206",122854.95489854,315172.607140757,296221.584130652,20.6586856497857,22.3780071626853,21.4650049086933
"207",116502.687254892,274777.102575173,243040.009942607,21.3659646265422,23.4219738361877,22.1527375419706
"208",102284.890283307,231774.263675427,204843.285685951,22.3178261272479,23.5083783597109,23.2372764950452
"209",112031.210979531,283735.662667973,254048.959622242,21.6569805149063,23.0990866872313,22.4600869251756
"210",110006.692040536,289601.429354463,266037.073410174,20.8967216280089,22.5625773363908,21.6305756061734
"211",102223.617052435,238290.194820446,215964.331700431,22.184519585568,23.5775316234015,22.9128978985665
"212",105362.445137543,280450.769208957,256321.27330444,21.156414217047,22.7896741283678,21.8127185190382
"213",106319.368414873,240929.967832306,201829.334184535,22.6664803229328,24.1089551752129,23.3884670975282
"214",109275.199790582,255268.672059246,249179.679213357,21.7620945436535,23.6056064686625,22.4414100430968
"215",133581.830797268,305993.938073951,299108.973806581,20.649326384153,22.5775408089967,21.0355490204964
"216",109802.101169045,275424.38374594,256802.884129747,21.2562911126313,22.8396531764097,22.0951474008804
"217",112838.902255333,280806.055903259,251645.60375008,21.3798825002728,23.2594869402419,21.9741069637981
"218",112066.6742288,275562.817203112,264311.809186237,21.5153702848676,23.1691656585773,22.0127520963977
"219",107920.798528593,247495.349820348,227642.815315313,22.3489356353846,23.7918919273818,22.9183486151176
"220",124212.750258389,346034.043455597,308841.39963099,19.4635026101096,21.4870383311547,20.1659292652683
"221",111881.350284108,247238.522585992,217925.127398848,22.8986830560697,24.152506898402,23.8988264571918
"222",113714.97581759,282943.22501632,262589.70976419,20.8742929311059,22.9018775398361,21.4661950648879
"223",104343.400639189,245983.700197179,221778.558834392,21.9821368001971,23.4295639537256,22.9145811217621
"224",127551.971834768,308818.214727939,287462.666122389,20.8817917817003,22.8946224741065,21.5708802098058
"225",117568.200149999,297472.48397168,266149.598841337,20.4498788921643,22.311795703853,21.5226444818469
"226",113703.181389367,266463.587364043,241911.502266752,22.1165213655371,23.601998979634,22.8653496819939
"227",113133.039759641,290119.097256587,268647.834782089,21.2813882108724,23.071108811521,22.2294007563398
"228",102142.41276209,258463.951793768,236615.598035811,21.8691822110551,23.4068335743301,22.6248737878902
"229",117170.719294835,286836.339495916,267312.800594924,20.2478128237349,22.1710169082102,21.1815054852148
"230",119120.106165325,304534.575243709,253976.303363092,20.7556865938415,22.649368919994,21.759497574148
"231",111635.382839411,268835.593296512,241843.188439146,21.6300680094463,23.2538684706427,22.5276650102976
"232",112816.096226056,284029.77352052,247403.012083213,21.2368723246909,22.8187824100837,22.2333670110887
"233",109847.104630749,254619.693835445,232204.160871399,21.6391097606589,23.3435177619563,22.5853940536717
"234",116973.13917862,285773.699497849,255625.046131605,21.1947412928873,22.9865011007804,22.0284815429161
"235",114390.633702209,265378.49062063,245283.853451027,21.5249992313886,23.2345370800883,22.2325919664953
"236",120091.753497134,297625.629930436,290671.993350653,20.621121795654,22.4975934040007,21.241247790163
"237",124287.427876881,314192.341888116,269348.586999372,20.2835468177714,22.072992168215,21.2151144490283
"238",117241.167497516,251459.618193311,233461.944492679,22.204157305591,23.9524733919,22.7721900875509
"239",112951.609532964,271663.047272225,242474.981080204,21.6754318033723,23.1027467941926,22.5295399342502
"240",108916.116364703,325451.988067235,278070.442926076,19.4209782748427,21.1802283270482,20.4925879310976
"241",117757.365437624,295915.584145805,256181.909359961,21.2087176386676,22.9832836915235,22.0475137273575
"242",117414.412189367,261197.818819299,232448.592479387,21.1643787381355,22.8498555344512,22.2188792695404
"243",107496.31386814,229083.146477879,199179.178208709,22.7373698915147,24.1470955838936,23.4993838584104
"244",114221.499049267,317595.195629257,284192.712517375,18.8068815616408,20.8247605140965,19.8338553627669
"245",105409.997681202,255962.130094775,240082.092616957,21.9799753393788,23.4279831218178,22.7248645316581
"246",121529.511676523,328266.896521125,276424.12787434,19.6081144597703,21.3211338167448,20.89299917516
"247",116541.613304302,288244.414503613,264495.891207243,21.602641827145,23.0888563594962,22.2998610901193
"248",115814.032489214,298609.68808678,268287.8417851,20.9757630749093,22.6937397212784,21.6826073380469
"249",112078.746006974,259911.888182387,239288.608742939,21.5851151199031,23.4815454134777,22.2387523216201
"250",115094.28608469,247861.957791001,239273.279818284,22.220303219413,23.7962663056735,22.8138625243978
"251",92268.3336371597,202212.36417629,186700.203291217,23.2692356811768,24.5974723885127,23.959222676919
"252",110434.891610988,290764.661229733,272498.518179289,21.1978497352065,22.7090396789434,21.9256170675888
"253",122583.609963656,319169.328752372,292957.030473024,20.424644377979,22.3362805553119,21.0431771680853
"254",110328.201310563,303736.90234364,281552.120666326,20.2951515331158,21.9489114629286,21.0386858205957
"255",121251.483562749,294320.549503989,266445.018435405,20.9667707703046,22.827168609865,21.8215518496042
"256",114977.940115336,329228.667422518,311498.526974776,19.4236900664293,21.0644624117417,20.1560652652025
"257",101396.130793931,269406.074921352,240429.003965938,21.2592232022818,22.8874599153867,22.0879878013147
"258",112046.033797113,308752.131202708,266834.910339231,20.7413430004797,22.2514428452765,21.6627347605009
"259",116645.239318578,293334.062793095,279870.764705496,21.458843323305,23.2400543705446,21.9649158398132
"260",111042.868635998,266024.39620436,247915.338796541,21.7172997698754,23.2231495642277,22.5435286033408
"261",123767.745641266,260985.587287791,236432.029720322,21.7638161092391,23.7186853370329,22.5339072822291
"262",116144.517902294,268646.127346057,269553.581992834,20.5964352115874,22.7529729643242,21.0641841777245
"263",125773.334046289,328304.723361993,295798.061819219,19.7670504113539,21.9502521324993,20.6423886628882
"264",117799.113509031,318973.531926644,287270.257335438,19.3317832127449,21.4933296956456,20.2874302217844
"265",99495.502372923,239124.078824724,232679.560689388,22.5172868109477,23.7976030115903,23.1621040600667
"266",120468.326150914,271062.717783633,240544.685247293,21.386579593692,23.3766835277964,22.2042953695478
"267",112346.393748004,291691.615798828,263411.76995106,20.9212776685176,22.5021533943751,21.7326793735444
"268",110493.699509074,271158.499033076,241184.412295122,21.6445554247829,23.3914620793337,22.282669257046
"269",114214.24794736,298224.08690055,273669.28030709,20.681531302756,22.5226693053559,21.3281176827377
"270",118239.516131032,290880.440302574,250211.747894934,21.3019719833994,23.0988830822583,22.121116647261
"271",102674.543503078,248070.317854734,229252.597108786,21.3019065684663,22.9872982855012,22.250153532798
"272",127229.7412981,294152.491952924,266044.440363493,20.8171306349093,22.6259194519834,21.6252873311147
"273",107062.593522841,264568.142979503,239749.077778474,21.3289036143193,23.0303683610136,22.1652132121382
